scientificName,countryCode,stateProvince,occurrenceStatus,individualCount,decimalLatitude,decimalLongitude,eventDate,day,month,year,basisOfRecord,institutionCode
"Rachycentron canadum (Linnaeus, 1766)",BR,São Paulo,,1,,,,,,,PRESERVED_SPECIMEN,ZUEC
"Rachycentron canadum (Linnaeus, 1766)",BR,Espírito Santo,,1,-20.319722,-40.3375,,,,,PRESERVED_SPECIMEN,ZUEC
"Rachycentron canadum (Linnaeus, 1766)",BR,Pará,,,,,2013-08-13T00:00:00Z,13,8,2013,PRESERVED_SPECIMEN,MPEG
"Rachycentron canadum (Linnaeus, 1766)",BR,Pará,,,,,2013-08-28T00:00:00Z,28,8,2013,PRESERVED_SPECIMEN,MPEG
"Rachycentron canadum (Linnaeus, 1766)",BR,Pará,,,,,2014-02-08T00:00:00Z,8,2,2014,PRESERVED_SPECIMEN,MPEG
"Rachycentron canadum (Linnaeus, 1766)",BR,Rio de Janeiro,,1,,,,,,,PRESERVED_SPECIMEN,Museu Nacional/UFRJ
"Rachycentron canadum (Linnaeus, 1766)",BR,Bahia,,1,,,1944-11-29T00:00:00Z,29,11,1944,PRESERVED_SPECIMEN,Museu Nacional/UFRJ
"Rachycentron canadum (Linnaeus, 1766)",BR,Bahia,,2,,,1945-01-31T00:00:00Z,31,1,1945,PRESERVED_SPECIMEN,Museu Nacional/UFRJ
"Rachycentron canadum (Linnaeus, 1766)",BR,Bahia,,1,,,1945-01-30T00:00:00Z,30,1,1945,PRESERVED_SPECIMEN,Museu Nacional/UFRJ
"Rachycentron canadum (Linnaeus, 1766)",BR,Espírito Santo,,1,,,1944-10-30T00:00:00Z,30,10,1944,PRESERVED_SPECIMEN,Museu Nacional/UFRJ
"Rachycentron canadum (Linnaeus, 1766)",BR,Espírito Santo,,1,,,1995-10-10T00:00:00Z,10,10,1995,PRESERVED_SPECIMEN,Museu Nacional/UFRJ
"Rachycentron canadum (Linnaeus, 1766)",BR,Santa Catarina,,1,,,1944-10-25T00:00:00Z,25,10,1944,PRESERVED_SPECIMEN,Museu Nacional/UFRJ
"Rachycentron canadum (Linnaeus, 1766)",BR,Pernambuco,,1,,,1944-08-09T00:00:00Z,9,8,1944,PRESERVED_SPECIMEN,Museu Nacional/UFRJ
"Rachycentron canadum (Linnaeus, 1766)",BR,Pernambuco,,1,,,1944-08-25T00:00:00Z,25,8,1944,PRESERVED_SPECIMEN,Museu Nacional/UFRJ
"Rachycentron canadum (Linnaeus, 1766)",BR,Pernambuco,,1,,,1944-08-07T00:00:00Z,7,8,1944,PRESERVED_SPECIMEN,Museu Nacional/UFRJ
"Rachycentron canadum (Linnaeus, 1766)",BR,Pernambuco,,1,,,1944-08-03T00:00:00Z,3,8,1944,PRESERVED_SPECIMEN,Museu Nacional/UFRJ
"Rachycentron canadum (Linnaeus, 1766)",BR,São Paulo,,1,,,1944-03-28T00:00:00Z,28,3,1944,PRESERVED_SPECIMEN,Museu Nacional/UFRJ
"Rachycentron canadum (Linnaeus, 1766)",BR,São Paulo,,1,,,1944-06-06T00:00:00Z,6,6,1944,PRESERVED_SPECIMEN,Museu Nacional/UFRJ
"Rachycentron canadum (Linnaeus, 1766)",BR,Rio de Janeiro,,1,,,,,,,PRESERVED_SPECIMEN,Museu Nacional/UFRJ
"Rachycentron canadum (Linnaeus, 1766)",BR,Bahia,,1,,,,,,,PRESERVED_SPECIMEN,Museu Nacional/UFRJ
"Rachycentron canadum (Linnaeus, 1766)",BR,,,,,,,,,,PRESERVED_SPECIMEN,Museu Nacional/UFRJ
"Rachycentron canadum (Linnaeus, 1766)",BR,Espírito Santo,,1,-20.3,-40.233333,2001-01-01T00:00:00Z,1,1,2001,PRESERVED_SPECIMEN,MBML
"Rachycentron canadum (Linnaeus, 1766)",BR,Espírito Santo,,1,-20.657778,-40.510833,1987-02-07T00:00:00Z,7,2,1987,PRESERVED_SPECIMEN,MBML
"Rachycentron canadum (Linnaeus, 1766)",BR,,,1,,,1944-01-01T00:00:00Z,,,1944,PRESERVED_SPECIMEN,Museu Nacional/UFRJ
"Rachycentron canadum (Linnaeus, 1766)",BR,,,1,,,1984-11-21T00:00:00Z,21,11,1984,PRESERVED_SPECIMEN,NHMUK
"Elacate nigra (Bloch, 1793)",BR,,,1,,,,,,,PRESERVED_SPECIMEN,NHMUK
"Rachycentron canadum (Linnaeus, 1766)",BR,Rio de Janeiro,,1,-23.047718,-43.349847,1700-01-01T00:00:00Z,1,1,1700,PRESERVED_SPECIMEN,MCZ
"Rachycentron canadum (Linnaeus, 1766)",BR,Rio de Janeiro,,1,-22.902946,-43.173865,1872-01-01T00:00:00Z,1,1,1872,PRESERVED_SPECIMEN,MCZ
"Rachycentron canadum (Linnaeus, 1766)",BR,Rio de Janeiro,,1,-22.902946,-43.173865,1865-05-01T00:00:00Z,1,5,1865,PRESERVED_SPECIMEN,MCZ
"Rachycentron canadum (Linnaeus, 1766)",BR,,,1,-3.517643,-38.604492,1865-08-05T00:00:00Z,5,8,1865,PRESERVED_SPECIMEN,MCZ
"Rachycentron canadum (Linnaeus, 1766)",BR,,,1,-15,-35,,,,,PRESERVED_SPECIMEN,MNHN
"Rachycentron canadum (Linnaeus, 1766)",BR,bahia,,1,-12.967,-38.483,,,,,PRESERVED_SPECIMEN,MNHN
"Rachycentron canadum (Linnaeus, 1766)",BR,bahia,,1,-12.967,-38.483,,,,,PRESERVED_SPECIMEN,MNHN
"Rachycentron canadum (Linnaeus, 1766)",BR,bahia,,1,-12.967,-38.483,,,,,PRESERVED_SPECIMEN,MNHN
"Elacate nigra (Bloch, 1793)",BR,,,1,,,,,,,PRESERVED_SPECIMEN,NRM